artist_names,title,count,document_ids
['Ce Ce Peniston'],Finally,2,"66f88815fb9f17a601aa9da0, 66f88815fb9f17a601aa9da4"
['My Life With The Thrill Kill Kult'],Hit & Run Holiday,2,"66f88803fb9f17a601a973a7, 66f88803fb9f17a601a973a3"
['Michael Jackson'],Bad,2,"66f88801fb9f17a601a949cc, 66f88801fb9f17a601a949fd"
['Mylène Farmer'],Innamoramento,2,"66f8880dfb9f17a601aa1693, 66f8880dfb9f17a601aa169b"
['Various'],Rave On!,2,"66f88805fb9f17a601a987ca, 66f88807fb9f17a601a9b55e"
['The Beatles'],Please Please Me,2,"66f88809fb9f17a601a9d46a, 66f88809fb9f17a601a9d563"
['Kristine W'],Land Of The Living,2,"66f8880ffb9f17a601aa3a4d, 66f8880ffb9f17a601aa3a55"
['Eagles'],Hotel California,2,"66f8880cfb9f17a601aa0980, 66f8880cfb9f17a601aa0957"
['Emjay'],In Your Arms,2,"66f88812fb9f17a601aa7414, 66f88812fb9f17a601aa7409"
['World Party'],Private Revolution,2,"66f88811fb9f17a601aa58b3, 66f88811fb9f17a601aa58b4"
['Love And Money'],Strange Kind Of Love,2,"66f88811fb9f17a601aa5b52, 66f88811fb9f17a601aa5b53"
['George Benson'],In Your Eyes,2,"66f8880dfb9f17a601aa18ca, 66f8880dfb9f17a601aa18d6"
['Cygnus X'],Superstring,2,"66f887fffb9f17a601a930cf, 66f88814fb9f17a601aa8e3f"
['The Supremes'],Greatest Hits,2,"66f88815fb9f17a601aaa3e1, 66f88815fb9f17a601aaa441"
['The Rolling Stones'],Emotional Rescue,2,"66f88808fb9f17a601a9c005, 66f8880bfb9f17a601a9efe3"
['Mike Francis'],Dreams Of A Lifetime,2,"66f8880efb9f17a601aa2ee4, 66f88815fb9f17a601aa9e24"
['Jesse Johnson'],Every Shade Of Love,2,"66f8880bfb9f17a601a9f672, 66f8880bfb9f17a601a9f669"
['Pete Shelley'],Homosapien,2,"66f88813fb9f17a601aa7865, 66f88813fb9f17a601aa7868"
['Ace Of Base'],The Sign,2,"66f88807fb9f17a601a9a848, 66f88807fb9f17a601a9a83e"
['The Beatles'],The Beatles,2,"66f88809fb9f17a601a9d846, 66f88811fb9f17a601aa5a41"
['Girls Aloud'],Sound Of The Underground,2,"66f8880afb9f17a601a9eb1b, 66f8880afb9f17a601a9eb2a"
['Brian May'],Back To The Light,2,"66f88802fb9f17a601a956b3, 66f88814fb9f17a601aa8f98"
